ticker,name,cik,sector,industry,date_added
T,AT&T,0000732717,Communication Services,Integrated Telecommunication Services,1983-11-30
ATO,Atmos Energy,0000731802,Utilities,Gas Utilities,2019-02-15
ADSK,Autodesk,0000769397,Information Technology,Application Software,1989-12-01
ADP,Automatic Data Processing,0000008670,Industrials,Human Resource & Employment Services,1981-03-31
AZO,AutoZone,0000866787,Consumer Discretionary,Automotive Retail,1997-01-02
AVB,AvalonBay Communities,0000915912,Real Estate,Multi-Family Residential REITs,2007-01-10
AVY,Avery Dennison,0000008818,Materials,Paper & Plastic Packaging Products & Materials,1987-12-31
AXON,Axon Enterprise,0001069183,Industrials,Aerospace & Defense,2023-05-04
BKR,Baker Hughes,0001701605,Energy,Oil & Gas Equipment & Services,2017-07-07
BALL,Ball Corporation,0000009389,Materials,"Metal, Glass & Plastic Containers",1984-10-31
BAC,Bank of America,0000070858,Financials,Diversified Banks,1976-06-30
BAX,Baxter International,0000010456,Health Care,Health Care Equipment,1972-09-30
BDX,Becton Dickinson,0000010795,Health Care,Health Care Equipment,1972-09-30
BRK-B,Berkshire Hathaway,0001067983,Financials,Multi-Sector Holdings,2010-02-16
BBY,Best Buy,0000764478,Consumer Discretionary,Computer & Electronics Retail,1999-06-29
TECH,Bio-Techne,0000842023,Health Care,Life Sciences Tools & Services,2021-08-30
BIIB,Biogen,0000875045,Health Care,Biotechnology,2003-11-13
BLK,BlackRock,0002012383,Financials,Asset Management & Custody Banks,2011-04-04
BX,Blackstone Inc.,0001393818,Financials,Asset Management & Custody Banks,2023-09-18
XYZ,"Block, Inc.",0001512673,Financials,Transaction & Payment Processing Services,2025-07-23
BNY,BNY Mellon,0001390777,Financials,Asset Management & Custody Banks,1995-03-31
BA,Boeing,0000012927,Industrials,Aerospace & Defense,1957-03-04
BKNG,Booking Holdings,0001075531,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2009-11-06
BSX,Boston Scientific,0000885725,Health Care,Health Care Equipment,1995-02-24
BMY,Bristol Myers Squibb,0000014272,Health Care,Pharmaceuticals,1957-03-04
AVGO,Broadcom,0001730168,Information Technology,Semiconductors,2014-05-08
BR,Broadridge Financial Solutions,0001383312,Industrials,Data Processing & Outsourced Services,2018-06-18
BRO,Brown & Brown,0000079282,Financials,Insurance Brokers,2021-09-20
BF-B,Brown–Forman,0000014693,Consumer Staples,Distillers & Vintners,1982-10-31
BLDR,Builders FirstSource,0001316835,Industrials,Building Products,2023-12-18
BG,Bunge Global,0001996862,Consumer Staples,Agricultural Products & Services,2023-03-15
BXP,"BXP, Inc.",0001037540,Real Estate,Office REITs,2006-04-03
CHRW,C.H. Robinson,0001043277,Industrials,Air Freight & Logistics,2007-03-02
CDNS,Cadence Design Systems,0000813672,Information Technology,Application Software,2017-09-18
CPT,Camden Property Trust,0000906345,Real Estate,Multi-Family Residential REITs,2022-04-04
COF,Capital One,0000927628,Financials,Consumer Finance,1998-07-01
CAH,Cardinal Health,0000721371,Health Care,Health Care Distributors,1997-05-27
CCL,Carnival Corporation,0000815097,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-12-22
CARR,Carrier Global,0001783180,Industrials,Building Products,2020-04-03
CVNA,Carvana,0001690820,Consumer Discretionary,Automotive Retail,2025-12-22
CASY,Casey's,0000726958,Consumer Staples,Food Retail,2026-04-09
CAT,Caterpillar Inc.,0000018230,Industrials,Construction Machinery & Heavy Transportation Equipment,1957-03-04
CBOE,Cboe Global Markets,0001374310,Financials,Financial Exchanges & Data,2017-03-01
CBRE,CBRE Group,0001138118,Real Estate,Real Estate Services,2006-11-10
CDW,CDW Corporation,0001402057,Information Technology,Technology Distributors,2019-09-23
COR,Cencora,0001140859,Health Care,Health Care Distributors,2001-08-30
CNC,Centene Corporation,0001071739,Health Care,Managed Health Care,2016-03-30
CNP,CenterPoint Energy,0001130310,Utilities,Multi-Utilities,1985-07-31
CF,CF Industries,0001324404,Materials,Fertilizers & Agricultural Chemicals,2008-08-27
CRL,Charles River Laboratories,0001100682,Health Care,Life Sciences Tools & Services,2021-05-14
SCHW,Charles Schwab Corporation,0000316709,Financials,Investment Banking & Brokerage,1997-06-02
CHTR,Charter Communications,0001091667,Communication Services,Cable & Satellite,2016-09-08
CVX,Chevron Corporation,0000093410,Energy,Integrated Oil & Gas,1957-03-04
CMG,Chipotle Mexican Grill,0001058090,Consumer Discretionary,Restaurants,2011-04-28
CB,Chubb Limited,0000896159,Financials,Property & Casualty Insurance,2010-07-15
CHD,Church & Dwight,0000313927,Consumer Staples,Household Products,2015-12-29
CIEN,Ciena,0000936395,Information Technology,Communications Equipment,2026-02-09
CI,Cigna,0001739940,Health Care,Health Care Services,1976-06-30
CINF,Cincinnati Financial,0000020286,Financials,Property & Casualty Insurance,1997-12-18
CTAS,Cintas,0000723254,Industrials,Diversified Support Services,2001-03-01
CSCO,Cisco,0000858877,Information Technology,Communications Equipment,1993-12-01
C,Citigroup,0000831001,Financials,Diversified Banks,1988-05-31
CFG,Citizens Financial Group,0000759944,Financials,Regional Banks,2016-01-29
CLX,Clorox,0000021076,Consumer Staples,Household Products,1969-03-31
CME,CME Group,0001156375,Financials,Financial Exchanges & Data,2006-08-11
CMS,CMS Energy,0000811156,Utilities,Multi-Utilities,1957-03-04
KO,Coca-Cola Company (The),0000021344,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1957-03-04
CTSH,Cognizant,0001058290,Information Technology,IT Consulting & Other Services,2006-11-17
COHR,Coherent Corp.,0000820318,Information Technology,Electronic Components,2026-03-23
COIN,Coinbase,0001679788,Financials,Financial Exchanges & Data,2025-05-19
CL,Colgate-Palmolive,0000021665,Consumer Staples,Household Products,1957-03-04
CMCSA,Comcast,0001166691,Communication Services,Cable & Satellite,2002-11-19
FIX,Comfort Systems USA,0001035983,Industrials,Construction & Engineering,2025-12-22
CAG,Conagra Brands,0000023217,Consumer Staples,Packaged Foods & Meats,1983-08-31
COP,ConocoPhillips,0001163165,Energy,Oil & Gas Exploration & Production,1957-03-04
ED,Consolidated Edison,0001047862,Utilities,Multi-Utilities,1957-03-04
STZ,Constellation Brands,0000016918,Consumer Staples,Distillers & Vintners,2005-07-01
CEG,Constellation Energy,0001868275,Utilities,Electric Utilities,2022-02-02
COO,Cooper Companies (The),0000711404,Health Care,Health Care Supplies,2016-09-23
CPRT,Copart,0000900075,Industrials,Diversified Support Services,2018-07-02
GLW,Corning Inc.,0000024741,Information Technology,Electronic Components,1995-02-27
CPAY,Corpay,0001175454,Financials,Transaction & Payment Processing Services,2018-06-20
CTVA,Corteva,0001755672,Materials,Fertilizers & Agricultural Chemicals,2019-06-03
CSGP,CoStar Group,0001057352,Real Estate,Real Estate Services,2022-09-19
COST,Costco,0000909832,Consumer Staples,Consumer Staples Merchandise Retail,1993-10-01
CRH,CRH plc,0000849395,Materials,Construction Materials,2025-12-22
CRWD,CrowdStrike,0001535527,Information Technology,Systems Software,2024-06-24
CCI,Crown Castle,0001051470,Real Estate,Telecom Tower REITs,2012-03-14
CSX,CSX Corporation,0000277948,Industrials,Rail Transportation,1957-03-04
CMI,Cummins,0000026172,Industrials,Construction Machinery & Heavy Transportation Equipment,1965-03-31
CVS,CVS Health,0000064803,Health Care,Health Care Services,1957-03-04
DHR,Danaher Corporation,0000313616,Health Care,Life Sciences Tools & Services,1998-11-18
DRI,Darden Restaurants,0000940944,Consumer Discretionary,Restaurants,1995-05-31
DDOG,Datadog,0001561550,Information Technology,Application Software,2025-07-09
DVA,DaVita,0000927066,Health Care,Health Care Services,2008-07-31
DECK,Deckers Brands,0000910521,Consumer Discretionary,Footwear,2024-03-18
DE,Deere & Company,0000315189,Industrials,Agricultural & Farm Machinery,1957-03-04
DELL,Dell Technologies,0001571996,Information Technology,"Technology Hardware, Storage & Peripherals",2024-09-23
DAL,Delta Air Lines,0000027904,Industrials,Passenger Airlines,2013-09-11
DVN,Devon Energy,0001090012,Energy,Oil & Gas Exploration & Production,2000-08-30
DXCM,Dexcom,0001093557,Health Care,Health Care Equipment,2020-05-12
FANG,Diamondback Energy,0001539838,Energy,Oil & Gas Exploration & Production,2018-12-03
DLR,Digital Realty,0001297996,Real Estate,Data Center REITs,2016-05-18
DG,Dollar General,0000029534,Consumer Staples,Consumer Staples Merchandise Retail,2012-12-03
DLTR,Dollar Tree,0000935703,Consumer Staples,Consumer Staples Merchandise Retail,2011-12-19
D,Dominion Energy,0000715957,Utilities,Multi-Utilities,2016-11-30
DPZ,Domino's,0001286681,Consumer Discretionary,Restaurants,2020-05-12
DASH,DoorDash,0001792789,Consumer Discretionary,Specialized Consumer Services,2025-03-24
DOV,Dover Corporation,0000029905,Industrials,Industrial Machinery & Supplies & Components,1985-10-31
DOW,Dow Inc.,0001751788,Materials,Commodity Chemicals,2019-04-01
DHI,D. R. Horton,0000882184,Consumer Discretionary,Homebuilding,2005-06-22
DTE,DTE Energy,0000936340,Utilities,Multi-Utilities,1957-03-04
DUK,Duke Energy,0001326160,Utilities,Electric Utilities,1976-06-30
DD,DuPont,0001666700,Materials,Specialty Chemicals,2019-06-03
ETN,Eaton Corporation,0001551182,Industrials,Electrical Components & Equipment,1957-03-04
EBAY,eBay Inc.,0001065088,Consumer Discretionary,Broadline Retail,2002-07-22
SATS,EchoStar,0001415404,Communication Services,Wireless Telecommunication Services,2026-03-23
ECL,Ecolab,0000031462,Materials,Specialty Chemicals,1989-01-31
EIX,Edison International,0000827052,Utilities,Electric Utilities,1957-03-04
EW,Edwards Lifesciences,0001099800,Health Care,Health Care Equipment,2011-04-01
EA,Electronic Arts,0000712515,Communication Services,Interactive Home Entertainment,2002-07-22
ELV,Elevance Health,0001156039,Health Care,Managed Health Care,2002-07-25
EME,Emcor,0000105634,Industrials,Construction & Engineering,2025-09-22
EMR,Emerson Electric,0000032604,Industrials,Electrical Components & Equipment,1965-03-31
ETR,Entergy,0000065984,Utilities,Electric Utilities,1957-03-04
EOG,EOG Resources,0000821189,Energy,Oil & Gas Exploration & Production,2000-11-02
EQT,EQT Corporation,0000033213,Energy,Oil & Gas Exploration & Production,2022-10-03
EFX,Equifax,0000033185,Industrials,Research & Consulting Services,1997-06-19
EQIX,Equinix,0001101239,Real Estate,Data Center REITs,2015-03-20
EQR,Equity Residential,0000906107,Real Estate,Multi-Family Residential REITs,2001-12-03
ERIE,Erie Indemnity,0000922621,Financials,Insurance Brokers,2024-09-23
ESS,Essex Property Trust,0000920522,Real Estate,Multi-Family Residential REITs,2014-04-02
EL,Estée Lauder Companies (The),0001001250,Consumer Staples,Personal Care Products,2006-01-05
EG,Everest Group,0001095073,Financials,Reinsurance,2017-06-19
EVRG,Evergy,0001711269,Utilities,Electric Utilities,2018-06-05
ES,Eversource Energy,0000072741,Utilities,Electric Utilities,2009-07-24
EXC,Exelon,0001109357,Utilities,Electric Utilities,1957-03-04
EXE,Expand Energy,0000895126,Energy,Oil & Gas Exploration & Production,2025-03-24
EXPE,Expedia Group,0001324424,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2007-10-02
EXPD,Expeditors International,0000746515,Industrials,Air Freight & Logistics,2007-10-10
EXR,Extra Space Storage,0001289490,Real Estate,Self-Storage REITs,2016-01-19
XOM,ExxonMobil,0000034088,Energy,Integrated Oil & Gas,1957-03-04
FFIV,"F5, Inc.",0001048695,Information Technology,Communications Equipment,2010-12-20
FDS,FactSet,0001013237,Financials,Financial Exchanges & Data,2021-12-20
FICO,Fair Isaac,0000814547,Information Technology,Application Software,2023-03-20
FAST,Fastenal,0000815556,Industrials,Trading Companies & Distributors,2008-09-15
FRT,Federal Realty Investment Trust,0000034903,Real Estate,Retail REITs,2016-02-01
FDX,FedEx,0001048911,Industrials,Air Freight & Logistics,1980-12-31
FDXF,FedEx Freight,0002082247,Industrials,Cargo Ground Transportation,2026-06-01
FIS,Fidelity National Information Services,0001136893,Financials,Transaction & Payment Processing Services,2006-11-10
FITB,Fifth Third Bancorp,0000035527,Financials,Regional Banks,1996-03-29
FSLR,First Solar,0001274494,Information Technology,Semiconductors,2022-12-19
FE,FirstEnergy,0001031296,Utilities,Electric Utilities,1997-11-28
FISV,Fiserv,0000798354,Financials,Transaction & Payment Processing Services,2001-04-02
FLEX,Flex Ltd.,0000866374,Information Technology,Electronic Manufacturing Services,2026-06-22
F,Ford Motor Company,0000037996,Consumer Discretionary,Automobile Manufacturers,1957-03-04
FTNT,Fortinet,0001262039,Information Technology,Systems Software,2018-10-11
FTV,Fortive,0001659166,Industrials,Industrial Machinery & Supplies & Components,2016-07-01
FOXA,Fox Corporation (Class A),0001754301,Communication Services,Broadcasting,2019-03-19
FOX,Fox Corporation (Class B),0001754301,Communication Services,Broadcasting,2019-03-19
BEN,Franklin Resources,0000038777,Financials,Asset Management & Custody Banks,1998-04-30
FCX,Freeport-McMoRan,0000831259,Materials,Copper,2011-07-01
GRMN,Garmin,0001121788,Consumer Discretionary,Consumer Electronics,2012-12-12
IT,Gartner,0000749251,Information Technology,IT Consulting & Other Services,2017-04-05
GE,GE Aerospace,0000040545,Industrials,Aerospace & Defense,1957-03-04
GEHC,GE HealthCare,0001932393,Health Care,Health Care Equipment,2023-01-04
GEV,GE Vernova,0001996810,Industrials,Heavy Electrical Equipment,2024-04-02
GEN,Gen Digital,0000849399,Information Technology,Systems Software,2003-03-25
GNRC,Generac,0001474735,Industrials,Electrical Components & Equipment,2021-03-22
GD,General Dynamics,0000040533,Industrials,Aerospace & Defense,1957-03-04
GIS,General Mills,0000040704,Consumer Staples,Packaged Foods & Meats,1957-03-04
GM,General Motors,0001467858,Consumer Discretionary,Automobile Manufacturers,2013-06-06
GPC,Genuine Parts Company,0000040987,Consumer Discretionary,Distributors,1973-12-31
GILD,Gilead Sciences,0000882095,Health Care,Biotechnology,2004-07-01
GPN,Global Payments,0001123360,Financials,Transaction & Payment Processing Services,2016-04-25
GL,Globe Life,0000320335,Financials,Life & Health Insurance,1989-04-30
GDDY,GoDaddy,0001609711,Information Technology,Internet Services & Infrastructure,2024-06-24
GS,Goldman Sachs,0000886982,Financials,Investment Banking & Brokerage,2002-07-22
HAL,Halliburton,0000045012,Energy,Oil & Gas Equipment & Services,1957-03-04
HIG,Hartford (The),0000874766,Financials,Property & Casualty Insurance,1957-03-04
HAS,Hasbro,0000046080,Consumer Discretionary,Leisure Products,1984-09-30
HCA,HCA Healthcare,0000860730,Health Care,Health Care Facilities,2015-01-27
DOC,Healthpeak Properties,0000765880,Real Estate,Health Care REITs,2008-03-31
HSIC,Henry Schein,0001000228,Health Care,Health Care Distributors,2015-03-17
HSY,Hershey Company (The),0000047111,Consumer Staples,Packaged Foods & Meats,1957-03-04
HPE,Hewlett Packard Enterprise,0001645590,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02
HLT,Hilton Worldwide,0001585689,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-06-19
HD,Home Depot (The),0000354950,Consumer Discretionary,Home Improvement Retail,1988-03-31
HON,Honeywell,0000773840,Industrials,Industrial Conglomerates,1957-03-04
HRL,Hormel Foods,0000048465,Consumer Staples,Packaged Foods & Meats,2009-03-04
HST,Host Hotels & Resorts,0001070750,Real Estate,Hotel & Resort REITs,2007-03-20
HWM,Howmet Aerospace,0000004281,Industrials,Aerospace & Defense,2016-10-21
HPQ,HP Inc.,0000047217,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31
HUBB,Hubbell Incorporated,0000048898,Industrials,Industrial Machinery & Supplies & Components,2023-10-18
HUM,Humana,0000049071,Health Care,Managed Health Care,2012-12-10
HBAN,Huntington Bancshares,0000049196,Financials,Regional Banks,1997-08-28
HII,Huntington Ingalls Industries,0001501585,Industrials,Aerospace & Defense,2018-01-03
IBM,IBM,0000051143,Information Technology,IT Consulting & Other Services,1957-03-04
IEX,IDEX Corporation,0000832101,Industrials,Industrial Machinery & Supplies & Components,2019-08-09
IDXX,Idexx Laboratories,0000874716,Health Care,Health Care Equipment,2017-01-05
ITW,Illinois Tool Works,0000049826,Industrials,Industrial Machinery & Supplies & Components,1986-02-28
INCY,Incyte,0000879169,Health Care,Biotechnology,2017-02-28
IR,Ingersoll Rand,0001699150,Industrials,Industrial Machinery & Supplies & Components,2020-03-03
PODD,Insulet Corporation,0001145197,Health Care,Health Care Equipment,2023-03-15
INTC,Intel,0000050863,Information Technology,Semiconductors,1976-12-31
IBKR,Interactive Brokers,0001381197,Financials,Investment Banking & Brokerage,2025-08-28
ICE,Intercontinental Exchange,0001571949,Financials,Financial Exchanges & Data,2007-09-26
IFF,International Flavors & Fragrances,0000051253,Materials,Specialty Chemicals,1976-03-31
IP,International Paper,0000051434,Materials,Paper & Plastic Packaging Products & Materials,1957-03-04
INTU,Intuit,0000896878,Information Technology,Application Software,2000-12-05
ISRG,Intuitive Surgical,0001035267,Health Care,Health Care Equipment,2008-06-02
IVZ,Invesco,0000914208,Financials,Asset Management & Custody Banks,2008-08-21
INVH,Invitation Homes,0001687229,Real Estate,Single-Family Residential REITs,2022-09-19
IQV,IQVIA,0001478242,Health Care,Life Sciences Tools & Services,2017-08-29
IRM,Iron Mountain,0001020569,Real Estate,Other Specialized REITs,2009-01-06
JBHT,J.B. Hunt,0000728535,Industrials,Cargo Ground Transportation,2015-07-01
JBL,Jabil,0000898293,Information Technology,Electronic Manufacturing Services,2023-12-18
JKHY,Jack Henry & Associates,0000779152,Financials,Transaction & Payment Processing Services,2018-11-13
J,Jacobs Solutions,0000052988,Industrials,Construction & Engineering,2007-10-26
JNJ,Johnson & Johnson,0000200406,Health Care,Pharmaceuticals,1973-06-30
JCI,Johnson Controls,0000833444,Industrials,Building Products,2010-08-27
JPM,JPMorgan Chase,0000019617,Financials,Diversified Banks,1975-06-30
KVUE,Kenvue,0001944048,Consumer Staples,Personal Care Products,2023-08-25
KDP,Keurig Dr Pepper,0001418135,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2022-06-21
KEY,KeyCorp,0000091576,Financials,Regional Banks,1994-03-01
KEYS,Keysight Technologies,0001601046,Information Technology,Electronic Equipment & Instruments,2018-11-06
KMB,Kimberly-Clark,0000055785,Consumer Staples,Household Products,1957-03-04
KIM,Kimco Realty,0000879101,Real Estate,Retail REITs,2006-04-04
KMI,Kinder Morgan,0001506307,Energy,Oil & Gas Storage & Transportation,2012-05-25
KKR,KKR & Co.,0001404912,Financials,Asset Management & Custody Banks,2024-06-24
KLAC,KLA Corporation,0000319201,Information Technology,Semiconductor Materials & Equipment,1997-09-30
KHC,Kraft Heinz,0001637459,Consumer Staples,Packaged Foods & Meats,2015-07-06
KR,Kroger,0000056873,Consumer Staples,Food Retail,1957-03-04
LHX,L3Harris,0000202058,Industrials,Aerospace & Defense,2008-09-22
LH,Labcorp,0000920148,Health Care,Health Care Services,2004-11-01
LRCX,Lam Research,0000707549,Information Technology,Semiconductor Materials & Equipment,2012-06-29
LVS,Las Vegas Sands,0001300514,Consumer Discretionary,Casinos & Gaming,2019-10-03
LDOS,Leidos,0001336920,Industrials,Diversified Support Services,2019-08-09
LEN,Lennar,0000920760,Consumer Discretionary,Homebuilding,2005-10-04
LII,Lennox International,0001069202,Industrials,Building Products,2024-12-23
LLY,Lilly (Eli),0000059478,Health Care,Pharmaceuticals,1970-12-31
LIN,Linde plc,0001707925,Materials,Industrial Gases,1992-07-01
LYV,Live Nation Entertainment,0001335258,Communication Services,Movies & Entertainment,2019-12-23
LMT,Lockheed Martin,0000936468,Industrials,Aerospace & Defense,1957-03-04
L,Loews Corporation,0000060086,Financials,Multi-line Insurance,1995-05-31
LOW,Lowe's,0000060667,Consumer Discretionary,Home Improvement Retail,1984-02-29
LULU,Lululemon Athletica,0001397187,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2023-10-18
LITE,Lumentum,0001633978,Information Technology,Communications Equipment,2026-03-23
LYB,LyondellBasell,0001489393,Materials,Specialty Chemicals,2012-09-05
MTB,M&T Bank,0000036270,Financials,Regional Banks,2004-02-23
MPC,Marathon Petroleum,0001510295,Energy,Oil & Gas Refining & Marketing,2011-07-01
MAR,Marriott International,0001048286,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-05-29
MRSH,Marsh McLennan,0000062709,Financials,Insurance Brokers,1987-08-31
MLM,Martin Marietta Materials,0000916076,Materials,Construction Materials,2014-07-02
MRVL,Marvell Technology,0001835632,Information Technology,Semiconductors,2026-06-22
MAS,Masco,0000062996,Industrials,Building Products,1981-06-30
MA,Mastercard,0001141391,Financials,Transaction & Payment Processing Services,2008-07-18
MKC,McCormick & Company,0000063754,Consumer Staples,Packaged Foods & Meats,2003-03-20
MCD,McDonald's,0000063908,Consumer Discretionary,Restaurants,1970-06-30
MCK,McKesson Corporation,0000927653,Health Care,Health Care Distributors,1999-01-13
MDT,Medtronic,0001613103,Health Care,Health Care Equipment,1986-10-31
MRK,Merck & Co.,0000310158,Health Care,Pharmaceuticals,1957-03-04
META,Meta Platforms,0001326801,Communication Services,Interactive Media & Services,2013-12-23
MET,MetLife,0001099219,Financials,Life & Health Insurance,2000-12-11
MTD,Mettler Toledo,0001037646,Health Care,Life Sciences Tools & Services,2016-09-06
MGM,MGM Resorts,0000789570,Consumer Discretionary,Casinos & Gaming,2017-07-26
MCHP,Microchip Technology,0000827054,Information Technology,Semiconductors,2007-09-07
MU,Micron Technology,0000723125,Information Technology,Semiconductors,1994-09-27
MSFT,Microsoft,0000789019,Information Technology,Systems Software,1994-06-01
MAA,Mid-America Apartment Communities,0000912595,Real Estate,Multi-Family Residential REITs,2016-12-02
MRNA,Moderna,0001682852,Health Care,Biotechnology,2021-07-21
TAP,Molson Coors Beverage Company,0000024545,Consumer Staples,Brewers,1976-06-30
MDLZ,Mondelez International,0001103982,Consumer Staples,Packaged Foods & Meats,2012-10-02
MPWR,Monolithic Power Systems,0001280452,Information Technology,Semiconductors,2021-02-12
MNST,Monster Beverage,0000865752,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2012-06-28
MCO,Moody's Corporation,0001059556,Financials,Financial Exchanges & Data,1998-07-01
MS,Morgan Stanley,0000895421,Financials,Investment Banking & Brokerage,1993-07-29
MOS,Mosaic Company (The),0001285785,Materials,Fertilizers & Agricultural Chemicals,2011-09-26
MSI,Motorola Solutions,0000068505,Information Technology,Communications Equipment,1957-03-04
MSCI,MSCI Inc.,0001408198,Financials,Financial Exchanges & Data,2018-04-04
NDAQ,"Nasdaq, Inc.",0001120193,Financials,Financial Exchanges & Data,2008-10-22
NTAP,NetApp,0001002047,Information Technology,"Technology Hardware, Storage & Peripherals",1999-06-25
NFLX,Netflix,0001065280,Communication Services,Movies & Entertainment,2010-12-20
NEM,Newmont,0001164727,Materials,Gold,1969-06-30
NWSA,News Corp (Class A),0001564708,Communication Services,Publishing,2013-08-01
NWS,News Corp (Class B),0001564708,Communication Services,Publishing,2015-09-18
NEE,NextEra Energy,0000753308,Utilities,Multi-Utilities,1976-06-30
NKE,"Nike, Inc.",0000320187,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988-11-30
NI,NiSource,0001111711,Utilities,Multi-Utilities,2000-11-02
NDSN,Nordson Corporation,0000072331,Industrials,Industrial Machinery & Supplies & Components,2022-02-15
NSC,Norfolk Southern,0000702165,Industrials,Rail Transportation,1957-03-04
NTRS,Northern Trust,0000073124,Financials,Asset Management & Custody Banks,1998-01-30
NOC,Northrop Grumman,0001133421,Industrials,Aerospace & Defense,1957-03-04
NCLH,Norwegian Cruise Line Holdings,0001513761,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-10-13
NRG,NRG Energy,0001013871,Utilities,Independent Power Producers & Energy Traders,2010-01-29
NUE,Nucor,0000073309,Materials,Steel,1985-04-30
NVDA,Nvidia,0001045810,Information Technology,Semiconductors,2001-11-30
NVR,"NVR, Inc.",0000906163,Consumer Discretionary,Homebuilding,2019-09-26
NXPI,NXP Semiconductors,0001413447,Information Technology,Semiconductors,2021-03-22
ORLY,O’Reilly Automotive,0000898173,Consumer Discretionary,Automotive Retail,2009-03-27
